Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;Apartamento
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;26.46;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;30.56;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;35.45;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;20.49;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;40.91;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;52.92;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;192.31;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;61.9;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;46.43;Apartamento
Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;70.59;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;33.93;Apartamento
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;53.75;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;33.33;Apartamento
Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;25.64;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;28.57;Apartamento
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;21.34;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;54.62;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;36.11;Apartamento
Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0;55.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;30.16;Apartamento
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;45.45;Apartamento
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;37.5;Apartamento
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;43.75;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;55.17;Apartamento
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;23.81;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;43.75;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;50.0;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;40.7;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;32.47;Apartamento
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;30.2;Apartamento
Apartamento;Ipanema;4;1;2;250;12000.0;2300.0;1050.0;48.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;18.67;Apartamento
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;72.16;Apartamento
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;11.29;Apartamento
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;21.43;Apartamento
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;35.8;Apartamento
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;69.33;Apartamento
Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;26.04;Apartamento
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;37.21;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;31.43;Apartamento
Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;0.0;25.0;Apartamento
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;62.22;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;31.76;Apartamento
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;67.57;Apartamento
Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0;41.67;Apartamento
Apartamento;Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;91.24;Apartamento
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;23.58;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;28.57;Apartamento
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;43.75;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;31.25;Apartamento
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;52.63;Apartamento
Apartamento;Leblon;4;3;4;260;13500.0;3100.0;0.0;51.92;Apartamento
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;41.86;Apartamento
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;49.12;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;48.0;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;41.54;Apartamento
Apartamento;Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0;42.76;Apartamento
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.14;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;49.66;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;43.1;Apartamento
